name,id,bid_amount,bid_strategy,daily_budget,budget_remaining,optimization_goal
BT_30-50y_新聞_台北,23842851233250246,8,LOWEST_COST_WITH_BID_CAP,200,94,LINK_CLICKS
BT_30-50y_已婚_台北,23842851233230246,8,LOWEST_COST_WITH_BID_CAP,200,199,LINK_CLICKS
BT_30-50y_房地產+理財_桃園-bid10,23842851233220246,8,LOWEST_COST_WITH_BID_CAP,200,199,LINK_CLICKS
BT_30-50y_已婚_桃園,23842851233210246,8,LOWEST_COST_WITH_BID_CAP,200,199,LINK_CLICKS
BT_30-50y_精品_桃園,23842851233200246,8,LOWEST_COST_WITH_BID_CAP,200,199,LINK_CLICKS
BT_30-50y_新聞_桃園,23842851233180246,8,LOWEST_COST_WITH_BID_CAP,200,199,LINK_CLICKS
BT_30-50y_房地產+理財_台北-bid9,23842845422390246,9,LOWEST_COST_WITH_BID_CAP,112,112,LINK_CLICKS
BT_30-50y_房地產+理財_桃園-bid10,23842845422380246,9,LOWEST_COST_WITH_BID_CAP,112,112,LINK_CLICKS
BT_30-50y_房地產＿台中以北,23842840800740246,25,LOWEST_COST_WITH_BID_CAP,400,400,PAGE_LIKES
RT_到過頁面,23842832057210246,7,LOWEST_COST_WITH_BID_CAP,100,100,POST_ENGAGEMENT
BT_房屋相關,23842832055980246,7,LOWEST_COST_WITH_BID_CAP,200,200,POST_ENGAGEMENT
PT_30-50,23842832045610246,7,LOWEST_COST_WITH_BID_CAP,161,161,POST_ENGAGEMENT
上搞用,23842831957550246,None,LOWEST_COST_WITHOUT_CAP,400,400,LANDING_PAGE_VIEWS
上搞用,23842826889660246,None,LOWEST_COST_WITHOUT_CAP,220,220,POST_ENGAGEMENT
BT_大自然,23842821682090246,7,LOWEST_COST_WITH_BID_CAP,0,243,LINK_CLICKS
BT_30-50y_新聞_台北,23842821682080246,7,LOWEST_COST_WITH_BID_CAP,0,300,LINK_CLICKS
BT_30-50y_房地產+理財_桃園,23842821682070246,7,LOWEST_COST_WITH_BID_CAP,0,300,LINK_CLICKS
RT_全站排除已留表單,23842821682060246,7,LOWEST_COST_WITH_BID_CAP,0,300,LINK_CLICKS
BT_航空,23842821682050246,7,LOWEST_COST_WITH_BID_CAP,0,282,LINK_CLICKS
BT_30-50y_房地產+理財_台北,23842821682040246,7,LOWEST_COST_WITH_BID_CAP,0,259,LINK_CLICKS
BT_30-50y_新聞_桃園,23842821682030246,7,LOWEST_COST_WITH_BID_CAP,0,294,LINK_CLICKS
BT_藝術,23842821682010246,7,LOWEST_COST_WITH_BID_CAP,0,300,LINK_CLICKS
BT_30-50y_新聞_桃園,23842819831920246,7,LOWEST_COST_WITH_BID_CAP,0,200,LINK_CLICKS
BT_30-50y_房地產+理財_台北,23842819831910246,7,LOWEST_COST_WITH_BID_CAP,0,122,LINK_CLICKS
RT_全站排除已留表單,23842819831900246,7,LOWEST_COST_WITH_BID_CAP,0,182,LINK_CLICKS
BT_藝術,23842819831890246,7,LOWEST_COST_WITH_BID_CAP,0,200,LINK_CLICKS
BT_30-50y_新聞_台北,23842819831880246,7,LOWEST_COST_WITH_BID_CAP,0,200,LINK_CLICKS
BT_航空,23842819831870246,7,LOWEST_COST_WITH_BID_CAP,0,188,LINK_CLICKS
BT_30-50y_房地產+理財_桃園,23842819831850246,7,LOWEST_COST_WITH_BID_CAP,0,200,LINK_CLICKS
BT_大自然,23842819831800246,7,LOWEST_COST_WITH_BID_CAP,0,125,LINK_CLICKS
BT_大自然,23842819557560246,6,LOWEST_COST_WITH_BID_CAP,2000,2000,LINK_CLICKS
BT_藝術,23842819556610246,6,LOWEST_COST_WITH_BID_CAP,1000,1000,LINK_CLICKS
BT_航空,23842819555010246,6,LOWEST_COST_WITH_BID_CAP,700,700,LINK_CLICKS
BT_30-50y_房地產+理財_桃園,23842818418460246,30,LOWEST_COST_WITH_BID_CAP,150,150,PAGE_LIKES
RT_全站排除已留表單,23842818418440246,22,LOWEST_COST_WITH_BID_CAP,150,150,PAGE_LIKES
BT_30-50y_新聞_台北,23842818418430246,30,LOWEST_COST_WITH_BID_CAP,150,150,PAGE_LIKES
BT_30-50y_新聞_台中以北(除台北),23842818418420246,30,LOWEST_COST_WITH_BID_CAP,150,150,PAGE_LIKES
BT_30-50y_房地產+理財_桃園,23842818418360246,7,LOWEST_COST_WITH_BID_CAP,200,200,LINK_CLICKS
BT_30-50y_房地產+理財_台北,23842818418350246,7,LOWEST_COST_WITH_BID_CAP,200,200,LINK_CLICKS
BT_30-50y_房地產+理財_台北,23842818418340246,30,LOWEST_COST_WITH_BID_CAP,150,150,PAGE_LIKES
BT_30-50y_新聞_台北,23842818418330246,9,LOWEST_COST_WITH_BID_CAP,112,112,LINK_CLICKS
BT_30-50y_新聞_桃園,23842818418320246,9,LOWEST_COST_WITH_BID_CAP,112,112,LINK_CLICKS
