campaign_name,campaign_id,adset_name,adset_id,ad_name,ad_id,date_start,cpm,cpc,clicks,impressions,reach,spend,hourly_stats_aggregated_by_audience_time_zone
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-03,None,None,0,19,19,0,09
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-11,4200,21,1,5,5,21,09
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-10,0,None,0,5,5,0,09
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-08,None,None,0,2,2,0,09
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-13,0,None,0,3,3,0,09
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-02,0,None,0,4,4,0,09
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-04,None,None,0,2,2,0,09
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-11,None,None,0,12,12,0,10
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-12,0,None,0,6,6,0,10
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-07,None,None,0,1,1,0,10
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-13,0,None,0,2,2,0,10
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-03,None,None,0,16,16,0,10
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-08,None,None,0,3,3,0,10
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-04,None,None,0,1,1,0,10
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-05,0,None,0,2,2,0,10
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-09,None,None,0,10,9,0,10
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-10,0,None,0,6,6,0,10
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-05,0,None,0,3,3,0,11
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-10,0,None,0,8,8,0,11
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-03,None,None,0,12,12,0,11
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-04,None,None,0,2,2,0,11
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-11,None,None,0,3,3,0,11
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-09,None,None,1,9,9,0,11
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-12,0,None,0,1,1,0,11
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-13,0,None,0,2,2,0,11
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-08,11000,22,1,2,2,22,11
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-06,0,None,0,1,1,0,12
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-13,0,None,0,1,1,0,12
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-11,None,None,0,5,5,0,12
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-08,None,None,0,4,4,0,12
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-04,4750,19,1,4,4,19,12
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-10,0,None,0,1,1,0,12
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-05,0,None,0,2,2,0,12
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-12,0,None,0,1,1,0,12
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-09,None,None,1,10,8,0,12
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-07,None,None,1,1,1,0,13
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-05,0,None,0,2,2,0,13
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-06,0,None,0,1,1,0,13
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-11,None,None,0,6,6,0,13
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-12,0,None,0,3,3,0,13
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-09,1692.307692,22,1,13,13,22,13
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-08,None,None,1,4,4,0,13
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-11,None,None,0,8,8,0,14
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-06,0,None,0,1,1,0,14
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-09,None,None,0,11,11,0,14
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-05,0,None,0,3,3,0,14
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-08,None,None,0,4,4,0,14
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-12,0,None,0,5,5,0,15
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-08,None,None,0,3,3,0,15
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-06,0,None,0,1,1,0,15
