actor_name,event_time,new_bid,new_budget,new_value,object_id,old_bid,old_budget,old_value
黃彥齊,2018-10-30 12:44:01,18,,,23843175604040316,,,
黃彥齊,2018-10-30 08:49:02,12,,,23843175367090316,,,
黃彥齊,2018-10-30 08:39:23,18,,,23843175360220316,,,
黃彥齊,2018-10-30 05:36:05,18,,,23843175129850316,15,,
黃彥齊,2018-10-30 04:00:47,18,,,23843175065700316,,,
黃彥齊,2018-10-30 02:25:31,16,,,23843174970600316,,,
黃彥齊,2018-10-30 02:10:59,15,,,23843174969950316,,,
黃彥齊,2018-10-29 15:35:06,16,,,23843174311460316,,,
黃彥齊,2018-10-29 04:17:22,15,,,23843173297190316,,,
黃彥齊,2018-10-29 04:17:22,15,,,23843173297140316,,,
黃彥齊,2018-10-29 04:17:22,15,,,23843173297160316,,,
黃彥齊,2018-10-29 02:02:18,16,,,23843173218730316,,,
黃彥齊,2018-10-29 02:02:18,16,,,23843173218720316,,,
黃彥齊,2018-10-29 02:02:18,16,,,23843173218770316,,,
Facebook,2018-10-27 16:00:23,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-27 09:30:39,,,Inactive,23843131321870316,,,Active
Facebook,2018-10-26 16:01:00,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-26 11:30:13,,,Inactive,23843131321870316,,,Active
Facebook,2018-10-25 16:00:12,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-25 04:30:13,,,Inactive,23843131321870316,,,Active
Facebook,2018-10-24 16:00:22,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-24 03:01:17,,,Inactive,23843131321870316,,,Active
Facebook,2018-10-23 16:02:10,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-23 01:00:13,,,Inactive,23843131321870316,,,Active
Facebook,2018-10-22 16:00:25,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-22 07:30:09,,,Inactive,23843131321870316,,,Active
Facebook,2018-10-21 16:00:22,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-21 10:00:11,,,Inactive,23843131321870316,,,Active
Facebook,2018-10-20 16:00:20,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-20 12:30:17,,,Inactive,23843131321870316,,,Active
黃彥齊,2018-10-19 10:41:01,15,,,23843159495960316,,,
黃彥齊,2018-10-19 10:41:01,15,,,23843159495940316,,,
黃彥齊,2018-10-19 07:55:38,12,,,23843159325280316,,,
黃彥齊,2018-10-19 07:55:38,12,,,23843159325270316,,,
黃彥齊,2018-10-19 07:54:23,13,,,23843159324390316,,,
黃彥齊,2018-10-19 07:54:23,13,,,23843159324410316,,,
Facebook,2018-10-17 16:00:17,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-17 05:30:15,,,Inactive,23843131321870316,,,Active
Facebook,2018-10-16 16:00:26,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-16 10:00:21,,,Inactive,23843131321870316,,,Active
黃彥齊,2018-10-16 01:52:56,12,,,23843154360240316,,,
黃彥齊,2018-10-16 01:52:56,12,,,23843154360260316,,,
黃彥齊,2018-10-15 09:21:36,9,,,23843153247030316,8,,
黃彥齊,2018-10-15 08:59:24,,3000,,23843153247030316,,1000,
黃彥齊,2018-10-15 08:06:31,8,,,23843153247030316,,,
黃彥齊,2018-10-15 08:01:36,,8000,,23843131321970316,,5000,
黃彥齊,2018-10-15 08:01:36,,8000,,23843131321960316,,3000,
黃彥齊,2018-10-15 08:01:32,,8000,,23843153079840316,,3000,
黃彥齊,2018-10-15 08:01:22,,10000,,23843141831130316,,5000,
黃彥齊,2018-10-15 05:39:42,10,,,23843153079840316,,,
Facebook,2018-10-14 16:00:12,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-14 09:00:13,,,Inactive,23843131321870316,,,Active
Facebook,2018-10-11 16:00:23,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-11 09:01:29,,,Inactive,23843131321870316,,,Active
Facebook,2018-10-10 16:08:11,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-10 05:00:17,,,Inactive,23843131321870316,,,Active
Facebook,2018-10-09 16:00:14,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-09 05:00:14,,,Inactive,23843131321870316,,,Active
Facebook,2018-10-08 16:00:20,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-08 04:31:34,,,Inactive,23843131321870316,,,Active
黃彥齊,2018-10-08 04:04:45,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-08 03:00:32,,,Inactive,23843131321870316,,,Active
Facebook,2018-10-07 16:00:15,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-07 05:01:56,,,Inactive,23843131321870316,,,Active
Facebook,2018-10-06 16:01:40,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-06 12:00:13,,,Inactive,23843131321870316,,,Active
黃彥齊,2018-10-06 03:21:35,,5000,,23843138941580316,,1000,
黃彥齊,2018-10-06 03:21:35,,5000,,23843138941600316,,1000,
黃彥齊,2018-10-06 03:21:58,10,,,23843141831130316,,,
黃彥齊,2018-10-05 09:45:02,8,,,23843131321960316,7,,
黃彥齊,2018-10-05 08:46:53,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-05 00:00:38,,,Inactive,23843131321870316,,,Active
Facebook,2018-10-04 16:00:32,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-04 15:30:17,,,Inactive,23843131321870316,,,Active
黃彥齊,2018-10-04 09:40:52,,10000,,23843131321990316,,5000,
黃彥齊,2018-10-04 07:32:27,8,,,23843131321970316,7,,
黃彥齊,2018-10-04 06:27:31,,1000,,23843138941580316,,5000,
黃彥齊,2018-10-04 06:27:31,,1000,,23843138941600316,,5000,
黃彥齊,2018-10-04 06:27:12,8,,,23843138941580316,,,
黃彥齊,2018-10-04 06:27:12,8,,,23843138941600316,,,
黃彥齊,2018-10-04 03:47:20,7,,,23843131321940316,5,,
黃彥齊,2018-10-04 03:47:20,7,,,23843131321990316,5,,
黃彥齊,2018-10-04 03:47:20,7,,,23843131321980316,5,,
黃彥齊,2018-10-04 03:47:20,7,,,23843131333670316,5,,
黃彥齊,2018-10-04 03:47:20,7,,,23843131321970316,5,,
黃彥齊,2018-10-04 03:47:20,7,,,23843131321960316,5,,
黃彥齊,2018-10-04 03:47:20,7,,,23843137281040316,5,,
黃彥齊,2018-10-04 03:46:23,,,Deleted,23843138672010316,,,Inactive
黃彥齊,2018-10-04 03:46:01,,,Inactive,23843138672010316,,,Active
黃彥齊,2018-10-04 02:07:35,,500,,23843138672120316,,100,
黃彥齊,2018-10-04 02:07:35,,500,,23843138672130316,,3000,
黃彥齊,2018-10-04 02:07:35,,500,,23843138672160316,,5000,
黃彥齊,2018-10-04 02:07:35,,500,,23843138672030316,,3000,
黃彥齊,2018-10-04 02:07:35,,500,,23843138672140316,,5000,
黃彥齊,2018-10-04 02:07:35,,500,,23843138672170316,,5000,
黃彥齊,2018-10-04 02:07:35,,500,,23843138672110316,,3000,
黃彥齊,2018-10-04 02:07:35,,500,,23843138672150316,,1000,
黃彥齊,2018-10-04 02:04:27,5,,,23843138672030316,7,,
黃彥齊,2018-10-04 02:03:34,7,,,23843138672030316,,,
黃彥齊,2018-10-04 02:03:34,5,,,23843138672160316,,,
黃彥齊,2018-10-04 02:03:34,5,,,23843138672110316,,,
黃彥齊,2018-10-04 02:03:34,5,,,23843138672170316,,,
黃彥齊,2018-10-04 02:03:34,5,,,23843138672140316,,,
黃彥齊,2018-10-04 02:03:34,5,,,23843138672150316,,,
黃彥齊,2018-10-04 02:03:34,5,,,23843138672130316,,,
黃彥齊,2018-10-04 02:03:34,5,,,23843138672120316,,,
黃彥齊,2018-10-03 11:06:13,,5000,,23843131321970316,,3000,
黃彥齊,2018-10-03 11:06:13,,5000,,23843131321990316,,3000,
黃彥齊,2018-10-03 10:38:08,7,,,23843137674420316,,,
黃彥齊,2018-10-03 03:01:12,5,,,23843137281040316,,,
黃彥齊,2018-10-03 02:15:01,,3000,,23843131321960316,,1000,
黃彥齊,2018-10-03 02:14:57,,3000,,23843131321990316,,1000,
黃彥齊,2018-10-03 02:14:53,,3000,,23843131321970316,,1000,
黃彥齊,2018-10-03 02:14:51,,5000,,23843131333670316,,1000,
黃彥齊,2018-10-03 01:52:07,5,,,23843131321990316,8,,
黃彥齊,2018-10-03 01:52:07,5,,,23843131321940316,8,,
黃彥齊,2018-10-03 01:52:07,5,,,23843131321960316,8,,
黃彥齊,2018-10-03 01:52:07,5,,,23843131321980316,8,,
黃彥齊,2018-10-03 01:52:07,5,,,23843131333670316,8,,
黃彥齊,2018-10-03 01:52:07,5,,,23843131321970316,8,,
Facebook,2018-10-02 16:00:17,,,Active,23843131321870316,,,Inactive
Facebook,2018-10-02 11:00:13,,,Inactive,23843131321870316,,,Active
黃彥齊,2018-10-02 03:48:15,,3000,,23843131321940316,,1000,
黃彥齊,2018-10-02 01:50:33,,1000,,23843131333670316,,300,
黃彥齊,2018-10-02 01:50:33,,1000,,23843131321940316,,300,
黃彥齊,2018-10-02 01:50:33,,1000,,23843131321980316,,300,
黃彥齊,2018-10-02 01:50:33,,1000,,23843131321970316,,300,
黃彥齊,2018-10-02 01:50:33,,1000,,23843131321960316,,300,
黃彥齊,2018-10-02 01:50:33,,1000,,23843131321990316,,300,
黃彥齊,2018-10-02 01:27:50,,300,,23843131321960316,,100,
黃彥齊,2018-10-02 01:27:50,,300,,23843131333670316,,100,
黃彥齊,2018-10-02 01:27:50,,300,,23843131321940316,,100,
黃彥齊,2018-10-02 01:27:50,,300,,23843131321990316,,100,
黃彥齊,2018-10-02 01:27:50,,300,,23843131321970316,,100,
黃彥齊,2018-10-02 01:27:50,,300,,23843131321980316,,100,
高曼容,2018-10-01 13:00:32,,,Active,23843131321870316,,,Inactive
江江,2018-10-01 12:40:30,,,Inactive,23843131321870316,,,Active
江江,2018-10-01 12:36:20,,,Active,23843131321870316,,,Inactive
黃彥齊,2018-10-01 10:18:14,,,Inactive,23843089158620316,,,Active
黃彥齊,2018-10-01 10:09:27,,100,,23843131321990316,,5000,
黃彥齊,2018-10-01 10:09:27,,100,,23843131321940316,,5000,
黃彥齊,2018-10-01 10:09:27,,100,,23843131321980316,,5000,
黃彥齊,2018-10-01 10:09:27,,100,,23843131321960316,,5000,
黃彥齊,2018-10-01 10:09:27,,100,,23843131321970316,,6500,
黃彥齊,2018-10-01 10:09:27,,100,,23843131333670316,,6500,
